initialization 19.0548920631
rhs 141 47.4389870167
update 141 3.22136306763
reconstruction 142 3.56479811668
boundary 142 6.75182008743
fluxes 142 22.2931210995
rhs 142 47.4654529095
update 142 3.2220749855
reconstruction 143 3.5671889782
boundary 143 6.75447916985
fluxes 143 22.2451050282
rhs 143 47.4596920013
update 143 3.21938514709
reconstruction 144 3.5650408268
boundary 144 6.75270390511
fluxes 144 22.2890388966
rhs 144 47.4440960884
update 144 3.22301006317
reconstruction 145 3.56721806526
boundary 145 6.7536149025
fluxes 145 22.2937891483
rhs 145 47.4717700481
update 145 3.22110819817
reconstruction 146 3.56484007835
boundary 146 6.75376415253
fluxes 146 22.2476570606
rhs 146 47.4647808075
update 146 3.21997690201
reconstruction 147 3.56864500046
boundary 147 6.75411295891
fluxes 147 22.2940480709
rhs 147 47.4478499889
update 147 3.22123098373
reconstruction 148 3.56330704689
boundary 148 6.75489020348
fluxes 148 22.2947130203
rhs 148 47.4657649994
update 148 3.22094702721
reconstruction 149 3.56869196892
boundary 149 6.75334095955
fluxes 149 22.247533083
rhs 149 47.4619970322
update 149 3.22107720375
reconstruction 150 3.56437897682
boundary 150 6.75326299667
fluxes 150 22.2948160172
rhs 150 47.4485299587
update 150 3.22183012962
reconstruction 151 3.56860494614
boundary 151 6.7539639473
fluxes 151 22.300069809
rhs 151 47.4784789085
update 151 3.22160100937
reconstruction 152 3.56432700157
boundary 152 6.75268507004
fluxes 152 22.2460000515
rhs 152 47.4624941349
update 152 3.22044897079
reconstruction 153 3.5670170784
boundary 153 6.75371193886
fluxes 153 22.2862122059
rhs 153 47.4418430328
update 153 3.22163200378
reconstruction 154 3.56385397911
boundary 154 6.75371193886
fluxes 154 22.301628828
rhs 154 47.4718341827
update 154 3.22360301018
reconstruction 155 3.56854200363
boundary 155 6.75263118744
fluxes 155 22.2469699383
rhs 155 47.5239930153
update 155 3.21958422661
reconstruction 156 3.56495094299
boundary 156 6.7612850666
fluxes 156 22.3519589901
rhs 156 47.5061490536
update 156 3.22329497337
reconstruction 157 3.56833982468
boundary 157 6.76138901711
fluxes 157 22.3595411777
rhs 157 47.5418949127
update 157 3.22277593613
reconstruction 158 3.56465983391
boundary 158 6.76013803482
fluxes 158 22.3012700081
rhs 158 47.5307700634
update 158 3.22180390358
reconstruction 159 3.56711602211
boundary 159 6.76095509529
fluxes 159 22.3465340137
rhs 159 47.5019538403
update 159 3.22202515602
reconstruction 160 3.56449985504
boundary 160 6.76128101349
fluxes 160 22.3593380451
rhs 160 47.5354690552
update 160 3.22368907928
reconstruction 161 3.56927013397
boundary 161 6.76122188568
fluxes 161 22.3015830517
rhs 161 47.5267071724
update 161 3.21949791908
reconstruction 162 3.56607818604
boundary 162 6.7612888813
fluxes 162 22.3541481495
rhs 162 47.5073509216
update 162 3.2315530777
reconstruction 163 3.56861209869
boundary 163 6.75943207741
fluxes 163 22.3549160957
rhs 163 47.5350468159
update 163 3.22215485573
reconstruction 164 3.56474590302
boundary 164 6.76122689247
fluxes 164 22.3019211292
rhs 164 47.5363221169
update 164 3.21999692917
reconstruction 165 3.5696079731
boundary 165 6.76227116585
fluxes 165 22.3496518135
rhs 165 47.5041048527
update 165 3.22234392166
reconstruction 166 3.5648920536
boundary 166 6.76441216469
fluxes 166 22.3625500202
rhs 166 47.5372889042
update 166 3.22149896622
reconstruction 167 3.56793999672
boundary 167 6.76148486137
fluxes 167 22.302656889
rhs 167 47.5325500965
update 167 3.21924996376
reconstruction 168 3.56437182426
boundary 168 6.76116585732
fluxes 168 22.3532521725
rhs 168 47.5106759071
update 168 3.22331404686
reconstruction 169 3.56816387177
boundary 169 6.76042795181
fluxes 169 22.360888958
rhs 169 47.5419619083
update 169 3.2207710743
reconstruction 170 3.56474018097
boundary 170 6.76115202904
fluxes 170 22.3033161163
rhs 170 47.529335022
update 170 3.21954107285
reconstruction 171 3.56769490242
boundary 171 6.7625310421
fluxes 171 22.3516891003
rhs 171 47.5100018978
update 171 3.22191095352
reconstruction 172 3.56500101089
boundary 172 6.76176905632
fluxes 172 22.3576600552
